location,elevation,aspect,coordinates
Beartooth Pass," 10,000", N," 44.9691, -109.4720"
Beehive Basin," 10,000", NE," 45.3407, -111.3910"
Taylor Fork," 9,500", NW," 45.0607, -111.2720"
COOKE CITY,NA,NA,NA
Republic Mountain," 9,000", NE," 45.0003, -109.9540"
BRIDGER RANGE,NA,NA,NA
Livingston," 9,000",NA,NA
Bridger Bowl," 8,500", NE," 45.8156, -110.9230"
Other place,NA,NA,NA
Miller Ridge," 9,000", S," 45.0423, -109.9650"
Other place," 8,200",NA,NA
Frazier Basin," 9,000", SE," 45.9233, -110.9800"
Beehive Basin,NA,NA,NA
Fairy Lake," 8,900", SE," 45.9043, -110.9580"
Taylor Fork," 9,400", NE," 44.9710, -111.3100"
Saddle Peak,NA,NA,NA
COOKE CITY,NA,NA,NA
Maid of the Mist," 10,000",NA,NA
Goose Lake," 11,200", NE," 45.1350, -109.8880"
Buck Ridge," 9,200", N," 45.1723, -111.4430"
Overlook Mountain," 9,600",NA,NA
Mt Blackmore," 9,500", NE," 45.4407, -110.9990"
Mt Blackmore," 9,500", E," 45.4425, -111.0010"
Flanders Creek," 9,500", N," 45.4402, -110.9310"
SOUTHERN MADISON RANGE," 10,000", E," 44.9786, -111.4150"
N,NA,NA,NA
Electric Peak," 8,000", E," 45.0080, -110.8370"
Middle Basin,NA,NA,NA
Texas Meadow,NA,NA,NA
Flanders Creek,NA,NA,NA
Mt Blackmore,NA,NA,NA
Beehive Basin,NA,NA,NA
Mt Blackmore," 10,000", SE," 45.4444, -111.0040"
Alex Lowe Peak," 9,700", E," 45.4272, -111.0140"
Hyalite Peak," 9,600", E," 45.3848, -110.9610"
Specimen Creek,NA,NA,NA
Abiathar Peak," 9,500", N," 44.9756, -110.0310"
Skyline Ridge," 9,000", S," 44.9205, -111.2300"
Rasta Chutes," 10,000", S," 45.0709, -109.9450"
COOKE CITY," 9,000", E," 45.0202, -109.9380"
COOKE CITY,NA,NA,NA
Caught: 0 ; Buried: 0,NA,NA,NA
Beehive Basin," 9,100", SW," 45.3407, -111.3910"
Dudley Creek," 7,200", E," 45.3145, -111.2950"
Other place," 9,300", SE," 44.9880, -110.0330"
WL-N-R1-D1,NA,NA,NA
Koch Peak," 10,100", SW," 44.9777, -111.4890"
Maid of the Mist," 10,000", E," 45.4115, -110.9880"
Specimen Creek," 7,800", SE," 45.0265, -111.0480"
Daisy Pass," 10,000", SW," 45.0497, -109.9640"
Buck Ridge,NA,NA,NA
Cabin Creek,NA,NA,NA
Big Horn Peak,NA,NA,NA
Taylor Fork," 9,250", NE," 45.0607, -111.2720"
BRIDGER RANGE,NA,NA,NA
Buck Ridge,NA,NA,NA
N,NA,NA,NA
Fawn Pass," 9,000", S," 44.9282, -110.9140"
Hyalite - main fork,NA,NA,NA
Cedar Mtn.," 10,000", E," 45.2268, -111.5120"
Elephant Mountain,NA,NA,NA
Beaver Creek,NA,NA,NA
Hayden Creek," 9,800", E," 44.9952, -109.9080"
Wolverine Peak," 10,500", E," 45.0530, -110.0100"
COOKE CITY,NA,NA,NA
Lone Lake Cirque," 9,000", NE," 45.2771, -111.4640"
COOKE CITY," 9,700", W," 45.0202, -109.9380"
Caught: 0 ; Buried: 0,NA,NA,NA
Mt Blackmore," 9,100", N," 45.4531, -110.9970"
Specimen Creek," 8,200", SE," 45.0265, -111.0480"
NORTHERN MADISON RANGE,NA,NA,NA
Town Hill,NA,NA,NA
McAtee Basin," 9,600", NE," 45.1769, -111.4520"
Alex Lowe Peak," 9,500", N," 45.4272, -111.0140"
Mt Ellis,NA,NA,NA
SS-AW-R1-D1," 7,500", NE," 45.3186, -111.2560"
Flanders Creek," 9,600", NE," 45.4330, -110.9430"
Mt Blackmore," 9,600", NE," 45.4431, -110.9990"
Maid of the Mist," 8,400", E," 45.4164, -110.9700"
Crown Butte,NA,NA,NA
Bridger Peak," 8,500", SE," 45.7701, -110.9400"
Saddle Peak," 8,800", E," 45.7943, -110.9360"
Fisher Mtn.," 10,000", E," 45.0661, -109.9590"
Olson Creek,NA,NA,NA
Hebgen Lake,NA,NA,NA
Divide Peak," 9,800",NA,NA
Beehive Basin," 9,100", SW," 45.3269, -111.3840"
Woody Ridge," 10,000", W," 44.9739, -109.9240"
Daisy Pass," 9,950", SE," 45.0497, -109.9640"
Cabin Creek,NA,NA,NA
Wolverine Bowl," 8,200", E," 45.8301, -110.9340"
Hayden Creek," 10,000", NE," 44.9952, -109.9080"
Scotch Bonnet," 10,200", NE," 45.0566, -109.9510"
Ernie Miller Ridge,NA,NA,NA
Lionhead Ridge," 9,500", NE," 44.7145, -111.3180"
Portal Creek,NA,NA,NA
Woody Ridge,NA,NA,NA
Henderson Bench,NA,NA,NA
Mt. Abundance," 10,000", SE," 45.0687, -110.0160"
Town Hill," 8,400", SE," 45.0256, -109.9370"
Middle Basin," 9,500",NA,NA
Alex Lowe Peak,NA,NA,NA
Cedar Mtn.," 9,600",NA,NA
Buck Ridge," 8,400",NA,NA
Buck Ridge,NA,NA,NA
COOKE CITY,NA,NA,NA
The Ramp," 8,350", NE," 45.8288, -110.9310"
Sheep Creek," 9,100", E," 45.0396, -109.9750"
Yellowstone Club," 8,000", NE," 45.2311, -111.4410"
Beehive Basin,NA,NA,NA
Watkins Creek,NA,NA,NA
Skyline Ridge,NA,NA,NA
Yellow Mountain,NA,NA,NA
Mt Ellis,NA,NA,NA
Dudley Creek," 8,500", N," 45.3145, -111.2950"
Other place," 8,500",NA,NA
Yellowstone Club,NA,NA,NA
Cedar Mtn.,NA,NA,NA
Bostwick Creek," 8,700", NW," 45.7976, -110.9380"
Specimen Creek," 8,500", SW," 45.0265, -111.0480"
Beehive Basin," 8,000", W," 45.3407, -111.3910"
COOKE CITY,NA,NA,NA
Bridger Peak," 8,600", NE," 45.7701, -110.9400"
BRIDGER RANGE,NA,NA,NA
LIONHEAD AREA," 8,000", S," 44.7292, -111.3230"
Ross Peak,NA,NA,NA
Specimen Creek,NA,NA,NA
Hayden Creek," 9,800", E," 44.9952, -109.9080"
Wolverine Bowl," 7,900",NA,NA
Hyalite - main fork," 8,000", NE," 45.4175, -110.9660"
Saddle Peak," 9,000", NE," 45.7943, -110.9360"
Divide Cirque,NA,NA,NA
Bacon Rind,NA,NA,NA
Fairy Lake,NA,NA,NA
Specimen Creek," 7,500",NA,NA
Woody Ridge," 9,000", NE," 44.9739, -109.9240"
Saddle Peak," 8,900", NE," 45.7943, -110.9360"
Fawn Pass,NA,NA,NA
LIONHEAD AREA," 9,400", SE," 44.7310, -111.3880"
Specimen Creek,NA,NA,NA
LIONHEAD AREA,NA,NA,NA
Republic Mountain," 9,800", E," 45.0045, -109.9570"
