Date,Observation,Location,Relative Size,Description Size,Depth,Aspect,Elevation,Slope,Notes
4/8/24,Buckingham,Lat: 43.789001 Lng: -110.792000,1,1,10,E,10500,40,
4/8/24,North East Ridge Mt Moran,Lat: 43.841000 Lng: -110.760101,3,2.5,0,NE,11000,,SS-R2.5-D3-N
4/1/24,No-Name Peak,Lat: 43.610001 Lng: -110.853996,1,2,0,S,10400,,
4/1/24,N Couloirs into Death Canyon,Lat: 43.660801 Lng: -110.836304,3,2,10,N,8800,40,D2 windslab triggered while on rappel around 8800’’. We also triggered multiple D1/1.5 in upper elevation N terrain. Slabs were becoming more cohesive throughout the day F-4F. Consistent moderate winds with frequent strong gusts from northerly winds with moderate/intense transport most of the day.
4/1/24,South and east facing terrain in Avalanche Canyon,Lat: 43.703999 Lng: -110.790001,,2,0,S,10000,,Multiple avalanches failed on steep south through east slopes with solar input. D1-D2. These slides all appeared to be failing in the recent snow and were probably mostly wet loose (maybe some storm slab) sliding on crusts that formed 3/21 or 3/32.
3/31/24,Red Sentinel,Lat: 43.734798 Lng: -110.792999,1,1,6,N,10600,,"While skiing down the apron of the Red Sentinel, trigged a storm slab ~3-6” deep. We had some localized cracking at the saddle entering the line but nothing propagating far. Sluff was sluggish but moving."
3/31/24,Mouth of Garnet Canyon,Lat: 43.734901 Lng: -110.791901,1,1,0,E,7700,,
3/30/24,Mayan apacolypse,Lat: 43.656799 Lng: -110.836304,2,1,8,N,9800,,multiple small wind slabs with one larger one triggered on ski cut.
3/27/24,Teewinot se shoulder,Lat: 43.740398 Lng: -110.768303,2,2.5,18,E,11000,,Dry loose ran from rocks on S ridge and stepped down to old snow on the SE shoulder producing a large avalanche that ran 2000+ feet. Crown seemed to be 1-2 feet and about 150-200 feet across.
3/25/24,"N Chute 10,333'",Lat: 43.940899 Lng: -110.731201,2,2,20,NE,9800,40,Got more than I bargained out of a ski cut. D2-HS-ASc. Ran nearly to valley floor.
3/24/24,Spooky Face / E Hourglass,Lat: 43.720402 Lng: -110.794601,4,2,0,N,11100,,"We weren’t able to see the start zone, only what fed into the couloir. The vertical fall of the slide path from where we first saw it was estimated 900’ (11,000’-10,100’). The full path was likely much longer with start zone being somewhere above us."
3/2/24,"Mt Hunt, west bowl",Lat: 43.627899 Lng: -110.865898,2,2,0,SE,10000,,
2/27/24,Turkey Chute,Lat: 43.692902 Lng: -110.792000,1,1,0,N,9900,50,"Small avalanche at the very top of Turkey Chute. About 20' wide, 2"" deep. It was pretty windy, I'm guessing the 2"" is all that stuck from the recent storm. Slid on a weak crust underneath. Prone to sliding again with more snow"
2/24/24,Cody Peak: No Shadows,Lat: 43.588100 Lng: -110.889198,1,1,8,E,10600,45,
2/23/24,Moon Walk Couloir,Lat: 43.689800 Lng: -110.795700,1,1,3,NE,9900,40,"3rd skier down couloir triggered a small wind slab pocket on the skier's left side, which was visibly wind loaded. Small but enough to take me off my feet and carry me a short ways (50 feet?) down the couloir before arresting."
2/23/24,Jackson Peak,Lat: 43.723999 Lng: -110.808998,2,2.5,0,N,10600,,
2/19/24,Banana couloir,Lat: 43.650600 Lng: -110.841202,,2.5,0,E,10800,,
2/19/24,Entrance of Whimpy’s NE Couloir,Lat: 43.671700 Lng: -110.805397,1,1,0,NE,9800,,
2/19/24,SE Face of the Grand,Lat: 43.741001 Lng: -110.802399,,3,0,SE,13000,45,"Witnessed a very large slide on the SE face of the Grand while driving into the park, just before the turnoff to employee housing. Saw what I first thought was just a lingering cloud on the grand but then saw the slide actually coming down the slide path down Teepee glacier and behind Disappointment. Avalanche occurred at exactly 12:45 pm. Most likely a natural trigger after it warmed up some this morning."
2/17/24,Bradley Faces,Lat: 43.715900 Lng: -110.764099,1,1,0,E,7300,34,"Skier triggered D1 avalanche on Bradley Faces, above Bradley Lake at ~7300’. Was not surprised to have this pocket release, as it initiated on a turn above a convexity and known cliff band. 8-10” crown on new snow / old snow interface, 25-30’ wide."
2/16/24,Mavs,Lat: 43.673698 Lng: -110.782997,1,1.5,0,E,7800,33,"On our first lap, we traversed the lower portion of the southeast ridge attempting to find our skin track from the am. We dropped around a blind corner and two in our party loaded a slope with a convexity. Roughly 30-35 deg. The weight of the second triggered a collapse, and a soft storm slab released. Crown was ~ 2-2.5 ft deep and 200’ wide. The debris ran ~200 ft. Both people were caught and carried but fortunately no burials/ injuries."
2/10/24,Rendezvous Mtn,Lat: 43.602798 Lng: -110.873802,3,2.5,0,N,10000,,avalanche was remotely triggered from mellow terrain near the northwest ridge of rendevous mtn
2/10/24,Endless Couloir,Lat: 43.608398 Lng: -110.841698,1,1,0,NE,9300,,Called in by folks that triggered it. Looked like the debris covered three previous tracks.
2/10/24,Son of Apocolapse,Lat: 43.632599 Lng: -110.836197,2,2.5,24,E,9800,45,"Remote skier triggered D3, R2 Avalanche into Son of Apocalypse (E Aspect). Crown 350-400 feet across and ran 1300+ vertical feet. Failed on 2/2 crust layer. The crust layer was 60 cms down."
2/7/24,"Granite Canyon, AF Couloirs",Lat: 43.610901 Lng: -110.833801,4,2.5,0,N,9000,40,
2/4/24,"25 Short, Below Broken Thumb",Lat: 43.726799 Lng: -110.770699,1,1,0,N,8000,40,
1/31/24,Olive Oyl,Lat: 43.625591 Lng: -110.830704,3,2.5,59,NE,9800,37,Estimated from afar with binoculars. Nearly entire start zone propagated
1/30/24,West Shoulder of Window,Lat: 43.851501 Lng: -110.862999,2,2,0,S,10000,,
1/29/24,Seven Dwarves,Lat: 43.605999 Lng: -110.861099,2,1.5,39,N,9200,,"1 meter crown, hard slab."
1/27/24,Prospectors/Mayan Apocalypse,Lat: 43.659000 Lng: -110.835999,1,1.5,12,E,9700,45,"At the beginning of the couloir, we observed wind loading. We put a skier on belay to ski cut the hypothesized start zone/wind loaded pocket. On the first jump he was able to trigger a wind slab 6 inches to 1 foot deep that ran the length of the couloir. Observation from Jan 27."
1/27/24,Apocalypse,Lat: 43.659000 Lng: -110.835999,1,1,0,NE,9100,,15 ft pocket of hard slab 1/1.5 feet deep
1/23/24,Peak 10075,Lat: 43.957802 Lng: -110.720596,,2,39,S,8550,35,"Short slope that was triggered while crossing under the slope. Wide propagation, One person fully buried. Recovered with no injuries."
1/20/24,Mavericks north bowl,Lat: 43.687901 Lng: -110.789703,,2,0,E,9500,,
