Date;Map Thumb;Northern Areas;Southern Areas;Wind Speed;Wind Direction;Avalanche Activity;Notes
Sunday 4/30/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";5-15 G25;W-NW;recent natural wet avalanche north of Cooke City;
Saturday 4/29/23;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10-20 G30;W;Recent Wet Avalanches in the T-Roots;
Friday 4/28/23;NA;"0.1/1"" Bridger
0.5/5"" Shower
0.1/1"" Lone";"0.4/3"" Carrot
0.3/2"" Madison
0.0/0"" Wt Elephant
0.4/4"" Fisher";10-20 G50;W-NW;"Wind slabs up high in Beehive;Several large wet slides in north bowl";
Thursday 4/27/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";15-25 G55;W;;"SNOTEL is not reporting. 0"" precip based on operational weather stations and forecast"
Wednesday 4/26/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";10-20 G15-30;SW-W-NW;;
Tuesday 4/25/23;NA;"0.4/4"" Alpine
0.2/2"" Shower
0.3/3"" Lone";"0.0/0"" Carrot
0.5/4"" Madison
0.3/3"" Wt Elephant
0.5/5"" Fisher";5-10 G15-25;SW-S-E-N-NW-W;"Wet snow avalanches at Bridger;Large Wet Slides at Bridger";
Monday 4/24/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";5-20 G20-30;SW-W;;
Sunday 4/23/23;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.1/1"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
0.0/0"" Sawtelle
0.0/0"" Fisher";5-20 G25-35;SW-NW;;
Saturday 4/22/23;NA;"0.3/4"" Alpine
0.2/2"" Shower
0.4/9"" Lookout";"0.5/7"" Carrot
0.2/2"" Madison
0.2/2"" Wt Elephant
0.1/2"" Fisher";5-15 G15-25;"W-NW
E-W Bridgers";Skier caught and carried above North Bowl at Bridger;
Friday 4/21/23;NA;"0.2/3"" Alpine
0.5/5"" Shower
0.3/3"" Lone";"0.0/0"" Carrot
0.2/2"" Madison
0.2/2"" Wt Elephant
0.1/1"" Fisher";5-15 G20-40;W-SW;;
